Env,Gen,Rep,Yr
SG_19,12,2,277
SG_19,12,3,291
SG_19,13,1,405
SG_19,13,2,378
SG_19,13,3,392
SG_19,14,1,250
SG_19,14,2,321
SG_19,14,3,286
SG_19,15,1,296
SG_19,15,2,402
SG_19,15,3,349
SG_19,16,1,264
SG_19,16,2,283
SG_19,16,3,274
SG_19,17,1,200
SG_19,17,2,100
SG_19,17,3,150
SG_19,18,1,139
SG_19,18,2,496
SG_19,18,3,318
SG_19,19,1,241
SG_19,19,2,468
SG_19,19,3,355
SG_19,20,1,221
SG_19,20,2,280
SG_19,20,3,251
SG_19,21,1,382
SG_19,21,2,359
SG_19,21,3,371
SG_19,22,1,283
SG_19,22,2,306
SG_19,22,3,295
SG_19,23,1,271
SG_19,23,2,242
SG_19,23,3,257
SG_19,24,1,310
SG_19,24,2,375
SG_19,24,3,343
SG_19,25,1,328
SG_19,25,2,385
SG_19,25,3,357
SG_19,26,1,270
SG_19,26,2,284
SG_19,26,3,277
SG_19,27,1,297
SG_19,27,2,238
SG_19,27,3,268
SG_19,28,1,191
SG_19,28,2,295
SG_19,28,3,243
SG_19,29,1,569.92
SG_19,29,2,320.32
SG_19,29,3,445.12
SG_19,30,1,306.8
SG_19,30,2,202.8
SG_19,30,3,254.8
SG_20,1,1,238.3
SG_20,1,2,204.5
SG_20,1,3,222.3
SG_20,2,1,328.4
SG_20,2,2,251
SG_20,2,3,280.2
SG_20,3,1,328.9
SG_20,3,2,231.6
SG_20,3,3,277.6
SG_20,4,1,216.6
SG_20,4,2,291
SG_20,4,3,251.3
SG_20,5,1,206.7
SG_20,5,2,165.4
SG_20,5,3,186.4
SG_20,6,1,437.9
SG_20,6,2,245.4
SG_20,6,3,318.4
SG_20,7,1,240.8
SG_20,7,2,150.6
SG_20,7,3,186.2
SG_20,8,1,236.4
SG_20,8,2,289.4
SG_20,8,3,250.4
SG_20,9,1,193
SG_20,9,2,250.4
SG_20,9,3,215
SG_20,10,1,397.2
SG_20,10,2,276.5
SG_20,10,3,314
SG_20,11,1,356.6
SG_20,11,2,222.3
SG_20,11,3,275.9
SG_20,12,1,241.1
SG_20,12,2,218.4
SG_20,12,3,218.8
SG_20,13,1,327.1
SG_20,13,2,294.9
SG_20,13,3,301.1
SG_20,14,1,199.8
SG_20,14,2,255.7
SG_20,14,3,212.8
SG_20,15,1,241.5
SG_20,15,2,310.3
SG_20,15,3,265.2
SG_20,16,1,208.7
SG_20,16,2,223.2
SG_20,16,3,206
SG_20,17,1,157.7
SG_20,17,2,78
SG_20,17,3,115.2
SG_20,18,1,108.5
SG_20,18,2,395.2
SG_20,18,3,236.6
SG_20,19,1,192
SG_20,19,2,361.2
SG_20,19,3,269.8
SG_20,20,1,178.5
SG_20,20,2,218.5
SG_20,20,3,192.8
SG_20,21,1,305.2
SG_20,21,2,286.1
SG_20,21,3,276
SG_20,22,1,231
SG_20,22,2,236.2
SG_20,22,3,224.2
SG_20,23,1,209.2
SG_20,23,2,190.9
SG_20,23,3,193.3
SG_20,24,1,244.4
SG_20,24,2,292.6
SG_20,24,3,263.4
SG_20,25,1,255.9
SG_20,25,2,306.8
SG_20,25,3,265.6
SG_20,26,1,215.1
SG_20,26,2,219.2
SG_20,26,3,210.5
SG_20,27,1,229.2
SG_20,27,2,187.6
SG_20,27,3,201.5
SG_20,28,1,150.6
SG_20,28,2,230.2
SG_20,28,3,217
SG_20,29,1,455.416
SG_20,29,2,255.216
SG_20,29,3,331.136
SG_20,30,1,250.432
SG_20,30,2,156.624
SG_20,30,3,193.648
SS_20,1,1,300.9
SS_20,1,2,419.22
SS_20,1,3,411.06
SS_20,2,1,279.48
SS_20,2,2,261.12
SS_20,2,3,558.96
SS_20,3,1,300.9
SS_20,3,2,304.98
SS_20,3,3,243.78
SS_20,4,1,506.94
SS_20,4,2,445.74
SS_20,4,3,311.1
SS_20,5,1,413.1
SS_20,5,2,255
SS_20,5,3,301.92
SS_20,6,1,269.28
SS_20,6,2,413.1
SS_20,6,3,260.1
SS_20,7,1,186.66
SS_20,7,2,224.4
SS_20,7,3,225.42
SS_20,8,1,389.64
SS_20,8,2,288.66
SS_20,8,3,276.42
SS_20,9,1,316.2
SS_20,9,2,334.56
SS_20,9,3,275.4
SS_20,10,1,302.94
SS_20,10,2,204
SS_20,10,3,141.78
SS_20,11,1,245.82
SS_20,11,2,193.8
SS_20,11,3,516.12
SS_20,12,1,229.5
SS_20,12,2,221.34
SS_20,12,3,209.1
SS_20,13,1,309.06
SS_20,13,2,568.14
SS_20,13,3,235.62
SS_20,14,1,282.54
